Date,Adj Close,daily return,,,
12/1/2011,382.29,0,,,
12/2/2011,384.03,0.46%,,total return =,4.40%
12/5/2011,387.29,0.85%,,avg daily return =,0.002109242
12/6/2011,385.26,-0.52%,,daily std =,0.010963261
12/7/2011,383.43,-0.48%,,sharpe ratio =,3.041982404
12/8/2011,384.98,0.40%,,,
12/9/2011,387.89,0.76%,,,
12/12/2011,386.14,-0.45%,,,
12/13/2011,383.15,-0.77%,,,
12/14/2011,374.66,-2.22%,,,
12/15/2011,373.43,-0.33%,,,
12/16/2011,375.48,0.55%,,,
12/19/2011,376.65,0.31%,,,
12/20/2011,390.19,3.59%,,,
12/21/2011,390.68,0.13%,,,
12/22/2011,392.75,0.53%,,,
12/23/2011,397.46,1.20%,,,
12/27/2011,400.62,0.80%,,,
12/28/2011,396.78,-0.96%,,,
12/29/2011,399.23,0.62%,,,
12/30/2011,399.11,-0.03%,,,
